"Pressure","Altitude","Temperature","Dew_point","Wind_direction","Wind_speed","Sigma_level"
937.98,549,22.28,18.18,357,7.49,137
935.65,571,22.3,18.09,358,12.27,136
933.11,595,22.26,18.01,359,15.35,135
930.36,620,22.16,17.93,359,17.88,134
927.36,649,22.06,17.85,359,20.15,133
924.1,679,21.95,17.77,0,22.32,132
920.56,713,21.82,17.68,0,24.45,131
916.71,749,21.67,17.58,0,26.55,130
912.53,789,21.52,17.48,1,28.71,129
908,832,21.36,17.36,1,30.88,128
903.08,879,21.22,17.24,1,33.06,127
897.75,931,21.07,17.13,0,35.28,126
891.99,987,20.94,17.03,359,37.47,125
885.76,1048,20.87,16.99,358,39.53,124
879.04,1114,20.81,17.01,357,41.22,123
871.79,1186,20.33,16.96,355,42.23,122
863.99,1263,19.63,16.89,355,42.66,121
855.61,1347,18.86,16.81,353,42.73,120
846.63,1438,18.08,16.68,350,42.79,119
837.01,1536,17.46,16.38,345,42.67,118
826.74,1642,16.91,15.71,340,42.73,117
815.8,1756,16.47,14.58,333,43.41,116
804.18,1879,15.88,13.26,328,44.48,115
791.87,2010,15.09,11.92,323,45.91,114
778.85,2150,14.32,10.36,320,47.59,113
765.14,2301,13.55,8.62,318,49.55,112
750.75,2461,12.64,6.85,317,51.7,111
735.69,2631,11.54,5.13,316,53.83,110
719.98,2811,10.51,3.49,316,55.58,109
703.67,3001,8.99,2.31,315,56.97,108
686.79,3202,8.06,1.52,316,57.15,107
669.4,3414,7.06,-3,314,59.39,106
651.55,3636,5.75,-4.38,313,58.7,105
633.33,3867,4.22,-4.93,314,56.79,104
614.79,4108,2.92,-6.56,315,54.97,103
596.03,4359,1.83,-10.8,315,54.19,102
577.13,4618,0.27,-16.3,314,54.13,101
558.18,4885,-1.66,-17.88,313,53.29,100
539.27,5158,-3.75,-19.19,312,52.29,99
520.5,5436,-5.88,-20.68,310,51.2,98
501.94,5719,-8.06,-22.31,308,50.07,97
483.71,6005,-10.4,-21.83,306,49.17,96
465.92,6292,-12.8,-21.99,304,48.47,95
448.63,6580,-15.18,-22.69,301,48.17,94
431.84,6867,-17.55,-23.64,299,48.28,93
415.55,7153,-19.87,-24.84,296,48.8,92
399.75,7440,-22.17,-26.18,294,49.58,91
384.42,7726,-24.44,-27.66,292,50.49,90
369.56,8012,-26.67,-29.4,290,51.21,89
355.15,8298,-28.84,-31.65,288,51.67,88
341.18,8583,-31.03,-33.57,286,52.01,87
327.65,8869,-33.13,-35.85,285,52.42,86
314.54,9155,-35.12,-38.56,283,53.06,85
301.85,9441,-37.14,-40.99,282,54.18,84
289.55,9727,-39.11,-43.29,281,56.08,83
277.66,10013,-41.02,-45.59,281,58.81,82
266.14,10300,-42.89,-47.88,282,62.33,81
255,10587,-44.71,-49.59,283,66.27,80
244.23,10875,-46.34,-51.27,285,69.71,79
233.81,11163,-47.75,-52.71,287,71.47,78
223.74,11453,-49.06,-54.05,289,70.96,77
214.01,11743,-50.79,-56.01,289,67.5,76
204.62,12034,-53.55,-58.61,289,66.66,75
195.54,12324,-56.42,-61.84,288,67.16,74
186.78,12613,-58.76,-64.38,284,67.21,73
178.33,12903,-59.39,-65.28,280,60.66,72
170.17,13196,-58.88,-66.29,275,48.92,71
162.31,13493,-58.78,-69.19,274,37.3,70
154.74,13792,-59.7,-71.95,276,30.57,69
147.44,14092,-61.8,-75.22,284,26.89,68
140.42,14393,-64.08,-77.93,293,25.65,67
133.66,14693,-66.22,-79.94,301,25.57,66
127.17,14993,-68.19,-80.91,301,25.76,65
120.93,15294,-69.45,-81.82,295,26.65,64
114.94,15596,-70.86,-81.84,288,31.04,63
109.19,15899,-72.59,-82.4,288,37.9,62
103.68,16203,-72.47,-83.06,292,44.67,61
98.4,16513,-69.28,-83.22,295,42.39,60
93.34,16828,-68.23,-83.28,308,37.25,59
88.5,17147,-68,-84.01,312,39.94,58
83.88,17472,-65.47,-83.87,309,42.24,57
79.45,17804,-62.91,-83.75,310,37.29,56
75.2,18143,-62.05,-84.46,319,30.49,55
71.12,18488,-61.82,-84.67,332,29.96,54
67.19,18840,-60.47,-84.73,333,26.83,53
63.42,19202,-59.1,-84.81,331,15.32,52
59.77,19572,-59.07,-85.05,345,7.53,51
56.26,19952,-59.28,-85.32,21,3.78,50
52.86,20341,-60.09,-85.67,17,3.65,49
49.6,20739,-59.71,-85.88,1,4.62,48
46.45,21150,-58.61,-86.02,33,5.91,47
43.43,21573,-57.83,-86.19,60,9.1,46
40.53,22008,-57.55,-86.44,71,12.22,45
