# Nowcasting CPTEC/INPE - Radares e produtos
# Fonte: https://nowcasting.cptec.inpe.br/

=== TABELA DE RADARES (HTML app.radares) ===
id	Nome	Raio_km	lon_centro	lat_centro	minLon	minLat	maxLon	maxLat
8345	São Francisco	250	-44.69525	-16.017361	-47.009944916	-18.237812042	-42.335361481	-13.748636246
8344	Jaraguari	250	-54.47396	-20.27855	-56.837623596	-22.503732681	-52.047153473	-18.014743805
2247	Chapecó	250	-52.598625	-27.03354	-55.1672	-29.28548	-50.03005	-24.7816
4964	Morro da Igreja	250	-49.4719928	-28.1078451	-52.0632	-30.3648	-46.8704	-25.8599
1379	Porto Velho	500	-63.8892325	-8.7075825	-66.1714	-10.951855	-61.607065	-6.46331
1377	Macapá	500	-51.0923775	0.050085	-53.3348	-2.19112	-48.849955	2.29129
2169	Santa Tereza	250	-40.54523388	-19.97280738	-42.939214	-22.22030575	-38.15125375	-17.725309
5984	Três Marias	250	-45.460556	-18.207222	-47.797908783	-20.43413353	-43.067661285	-15.945045471
4963	Pico do Couto	250	-43.2971821	-22.4466503	-45.7583	-24.701	-40.8262	-20.2013
4960	São Roque	250	-47.097778	-23.598889	-49.6153	-25.8356	-44.6369	-21.3348
1380	Santarém	500	-54.7945175	-2.424504	-57.0426	-4.666354	-52.546435	-0.182654
2238	Guaratiba	250	-43.58794022	-22.99324989	-46.05399022	-25.24309989	-41.12189022	-20.74339989
8343	Natal	250	-35.25401	-5.90448	-37.506313324	-8.141628265	-32.989379883	-3.65220499
7011	Quixeramobim	400	-39.2669	-5.06917	-42.8899	-8.6533	-35.6439	-1.47747
8346	Salvador	250	-38.326667	-12.9025	-40.613765717	-15.134028435	-36.004219055	-10.644747734
8325	Maceió	250	-35.770833	-9.551389	-38.036766052	-11.785545349	-33.480552673	-7.296182156
1375	Boa Vista	500	-60.695705	2.8479	-62.9452	0.60589	-58.44621	5.08991
1382	Tabatinga	500	-69.93045	-4.2425575	-72.1855	-6.485105	-67.6754	-2.00001
1250	Gama	250	-48.021985	-15.9648935	-50.3701	-18.2131	-45.6527	-13.7188
4965	Santiago	250	-54.9406844	-29.2045064	-57.5513	-31.4619	-52.2986	-26.956
1378	Manaus	500	-59.986935	-3.143476	-62.2375	-5.385601	-57.73637	-0.901351
1376	Cruzeiro do Sul	500	-72.76509	-7.5884075	-75.0391	-9.832245	-70.49108	-5.34457
4962	Canguçu	250	-52.7126416	-31.3821522	-55.3873	-33.6406	-50.0057	-29.1325
4966	Almenara	250	-40.647541	-16.18919963	-42.990238	-18.43678125	-38.304844	-13.941618
1383	Tefé	500	-64.6886875	-3.3672025	-66.9401	-5.609415	-62.437275	-1.12499
2241	Macaé	250	-41.86047745	-22.40584946	-44.32652745	-24.65569946	-39.39442745	-20.15599946
1374	Belém	500	-48.45733	-1.4019665	-50.7025	-3.643424	-46.21216	0.839491
8342	Petrolina	250	-40.573	-9.367	-42.838165283	-11.60140419	-38.28440094	-7.11203622
1136	Fortaleza	480	-38.5575	-3.7944	-42.1691	-7.378549	-34.94578	-0.205189
1381	São Gabriel	500	-67.05253	-0.139185	-69.2951	-2.38039	-64.80996	2.10202
4961	Lontras	250	-49.4559	-27.214725	-52.029	-29.46675	-46.8827	-24.9627
1390	São Luiz	500	-44.23476	-2.595277	-46.4834	-4.837192	-41.98612	-0.353362

=== PRODUTOS POR RADAR (API /api/camadas/radar/{id}/imagens) ===

### Radar 8345 - São Francisco
  R12458345 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/saofrancisco/cappi/cappi3km
  R12454680 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/saofrancisco/previsao_radar/cent_sistconvectivo
  R12457234 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/saofrancisco/chuva/chuva24h
  R12454671 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/saofrancisco/previsao_radar/rast_tempestade
  R12457388 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/saofrancisco/ppi/ppivr
  R12452185 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/saofrancisco/agua_liquida/dvil
  R12454603 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/saofrancisco/echotop/echotop20dbz
  R12454604 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/saofrancisco/echotop/echotop35dbz
  R12457387 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/saofrancisco/ppi/ppicz
  R12452184 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/saofrancisco/agua_liquida/vil
  R12454605 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/saofrancisco/echotop/waldvogel

### Radar 8344 - Jaraguari
  R12278344 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/jaraguari/cappi/cappi3km
  R12274674 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/jaraguari/previsao_radar/cent_sistconvectivo
  R12277225 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/jaraguari/chuva/chuva24h
  R12274599 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/jaraguari/previsao_radar/rast_tempestade
  R12277384 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/jaraguari/ppi/ppivr
  R12272181 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/jaraguari/agua_liquida/dvil
  R12274498 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/jaraguari/echotop/echotop20dbz
  R12274499 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/jaraguari/echotop/echotop35dbz
  R12277383 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/jaraguari/ppi/ppicz
  R12272180 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/jaraguari/agua_liquida/vil
  R12274497 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/jaraguari/echotop/waldvogel

### Radar 2247 - Chapecó
  R12132247 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sdcsc/chapeco/cappi/cappi3km
  R12127270 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sdcsc/chapeco/chuva/chuva24h
  R12137762 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sdcsc/chapeco/ppi/ppivr
  R12132557 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sdcsc/chapeco/agua_liquida/dvil
