"Pressure","Altitude","Temperature","Dew_point","Wind_direction","Wind_speed","Sigma_level"
930.48,622,23.26,18.44,12,8.92,137
928.17,644,23.34,18.35,11,13.7,136
925.66,667,23.31,18.27,11,16.74,135
922.92,693,23.23,18.2,11,19.17,134
919.95,722,23.12,18.12,10,21.33,133
916.73,752,22.98,18.04,10,23.35,132
913.22,786,22.82,17.95,10,25.27,131
909.41,822,22.63,17.86,10,27.17,130
905.28,862,22.42,17.76,9,28.99,129
900.79,905,22.19,17.66,9,30.82,128
895.93,953,21.94,17.54,8,32.63,127
890.66,1004,21.64,17.42,7,34.36,126
884.96,1060,21.29,17.29,6,35.94,125
878.8,1120,20.87,17.16,5,37.32,124
872.16,1186,20.33,17.04,4,38.36,123
864.99,1258,19.75,16.88,2,39.16,122
857.28,1335,19.16,16.68,1,39.89,121
849,1419,18.53,16.47,359,40.29,120
840.12,1509,17.89,16.24,355,40.62,119
830.62,1607,17.27,15.96,352,40.73,118
820.47,1712,16.7,15.47,346,40.92,117
809.66,1825,16.13,14.87,338,41.59,116
798.18,1947,15.46,14.09,332,42.78,115
786.01,2078,14.68,13.09,326,44.27,114
773.15,2218,13.86,11.81,321,46.11,113
759.6,2367,12.96,10.3,318,48.39,112
745.37,2526,12.03,8.39,316,51.24,111
730.49,2695,11.17,5.86,314,54.73,110
714.97,2874,10.26,2.9,313,58.67,109
698.84,3064,9.19,-0.13,312,62.42,108
682.16,3264,8.02,-2.93,312,64.79,107
664.97,3474,6.78,-5.3,312,65.03,106
647.33,3694,5.48,-7.58,313,62.89,105
629.31,3924,4.28,-10.15,315,59.61,104
610.98,4164,3.12,-13.74,317,57.12,103
592.43,4413,1.67,-18.61,318,56.3,102
573.74,4671,-0.07,-22.96,318,56.2,101
554.99,4935,-1.95,-25.23,317,56.01,100
536.29,5207,-3.93,-26.66,315,55.27,99
517.71,5484,-6.06,-27.17,313,54.23,98
499.35,5765,-8.34,-26.56,311,53.2,97
481.31,6049,-10.75,-25.45,309,52.41,96
463.69,6334,-13.17,-25.27,307,51.77,95
446.57,6619,-15.54,-25.77,304,51.04,94
429.95,6904,-17.85,-26.68,301,49.95,93
413.81,7189,-20.16,-27.77,299,48.68,92
398.15,7474,-22.46,-28.97,296,47.4,91
382.96,7758,-24.77,-30.15,293,46.42,90
368.23,8042,-27.08,-31.31,290,45.81,89
353.94,8326,-29.34,-32.75,287,45.62,88
340.09,8610,-31.56,-34.48,284,45.93,87
326.66,8893,-33.59,-37.11,282,46.93,86
313.66,9177,-35.57,-39.6,280,48.53,85
301.05,9461,-37.58,-41.78,278,50.57,84
288.85,9746,-39.54,-43.88,277,52.89,83
277.03,10030,-41.49,-45.94,275,55.41,82
265.59,10315,-43.42,-48.06,275,58.24,81
254.52,10600,-45.28,-50.05,274,61.74,80
243.81,10886,-47.02,-51.64,274,65.85,79
233.45,11172,-48.62,-53.49,275,69.84,78
223.43,11460,-49.8,-55,276,72.3,77
213.75,11749,-51.2,-56.71,277,68.72,76
204.39,12038,-53.88,-59.21,277,67.85,75
195.35,12326,-56.55,-62.37,276,67.94,74
186.63,12615,-57.72,-63.89,275,61.57,73
178.2,12907,-56.91,-65.39,275,46.38,72
170.07,13203,-56.01,-68.48,280,32.62,71
162.23,13503,-57.06,-72.15,287,28.22,70
154.67,13803,-59.09,-75.08,291,29.7,69
147.39,14103,-61.26,-77.3,292,31.9,68
140.38,14404,-63.2,-78.14,293,34.37,67
133.64,14706,-65.35,-79.04,293,36.31,66
127.15,15006,-67.75,-79.31,293,37,65
120.92,15307,-69.55,-80.57,291,36.07,64
114.93,15609,-70.88,-81.85,286,36.75,63
109.18,15912,-72.28,-82.79,285,40.05,62
103.67,16216,-72.15,-83,288,42.1,61
98.39,16526,-69.71,-83.29,293,38.07,60
93.34,16840,-69.06,-83.42,306,33.48,59
88.5,17158,-69.04,-84.18,312,36.1,58
83.88,17481,-66.57,-84.03,310,40.3,57
79.45,17811,-64.15,-83.92,311,37.1,56
75.2,18148,-63.13,-84.01,320,30.7,55
71.12,18491,-62.91,-84.81,332,30.6,54
67.19,18842,-61.39,-84.85,333,29.3,53
63.42,19202,-59.49,-84.86,330,18.31,52
59.77,19573,-59.23,-85.07,340,9.66,51
56.26,19952,-59.12,-85.3,354,5.44,50
52.86,20341,-59.65,-85.62,350,4.1,49
49.6,20741,-59.46,-85.86,349,4.37,48
46.45,21151,-58.64,-86.02,31,5.1,47
43.43,21574,-58.02,-86.22,62,8.34,46
40.53,22009,-57.9,-86.47,72,11.11,45
