"Pressure","Altitude","Temperature","Dew_point","Wind_direction","Wind_speed","Sigma_level"
938.79,549,23.27,18.75,15,6.9,137
936.46,571,23.25,18.65,16,11.04,136
933.92,595,23.15,18.56,15,13.69,135
931.16,621,23.01,18.48,15,15.83,134
928.16,649,22.83,18.4,15,17.67,133
924.89,680,22.62,18.31,15,19.37,132
921.35,713,22.38,18.23,14,20.98,131
917.5,750,22.1,18.13,14,22.53,130
913.31,790,21.8,18.03,13,24.06,129
908.77,833,21.47,17.93,13,25.58,128
903.85,880,21.11,17.82,12,27.09,127
898.52,932,20.72,17.7,11,28.57,126
892.75,987,20.31,17.59,9,29.97,125
886.51,1048,19.87,17.47,7,31.28,124
879.78,1114,19.37,17.37,5,32.37,123
872.52,1186,18.87,17.27,2,33.3,122
864.71,1263,18.33,17.15,359,34.06,121
856.32,1347,17.83,17.01,356,34.74,120
847.33,1438,17.56,16.78,349,35.76,119
837.7,1536,17.28,16.4,342,36.82,118
827.42,1641,16.94,15.81,335,38.02,117
816.47,1755,16.58,14.99,329,39.52,116
804.83,1878,16.08,13.99,323,41.41,115
792.5,2010,15.4,12.83,319,43.65,114
779.47,2150,14.58,11.33,316,46.09,113
765.74,2301,13.75,9.33,313,48.69,112
751.33,2461,13.02,6.77,311,51.26,111
736.25,2631,12.16,3.85,309,53.72,110
720.52,2812,11.27,0.84,308,55.9,109
704.19,3003,10.17,-1.96,308,57.38,108
687.29,3205,8.83,-4.36,308,57.61,107
669.87,3417,7.39,-6.84,309,56.23,106
652.01,3638,5.97,-9.94,310,53.52,105
633.76,3870,4.53,-13.56,312,50.49,104
615.2,4111,3.06,-17.34,315,48.61,103
596.42,4362,1.54,-21.91,318,49.59,102
577.5,4620,-0.08,-26.6,320,52.68,101
558.52,4886,-1.88,-30.25,319,55.17,100
539.59,5159,-3.82,-32.29,317,54.75,99
520.8,5438,-5.99,-32.69,313,51.74,98
502.22,5721,-8.47,-31.44,311,48.11,97
483.97,6006,-11.13,-29.38,309,46.2,96
466.16,6292,-13.64,-28.22,308,47.39,95
448.85,6579,-15.98,-28.6,304,50.28,94
432.05,6865,-18.25,-30.07,301,52.52,93
415.74,7151,-20.51,-32.09,297,53.04,92
399.92,7437,-22.84,-34.01,293,52.12,91
384.58,7722,-25.24,-35.73,289,50.6,90
369.7,8007,-27.66,-37.39,284,49.1,89
355.28,8291,-30.13,-39.09,280,47.91,88
341.3,8576,-32.62,-40.83,277,47.35,87
327.76,8859,-35.11,-42.57,274,47.54,86
314.64,9143,-37.57,-44.16,272,48.81,85
301.93,9425,-39.99,-45.7,271,51.11,84
289.63,9708,-42.32,-47.31,270,54.46,83
277.72,9990,-44.5,-49.01,270,59.15,82
266.2,10273,-46.53,-50.97,271,65.28,81
255.05,10555,-48.4,-53.01,273,72.47,80
244.27,10838,-50.1,-55.14,274,80.31,79
233.85,11122,-51.64,-57.21,276,87.46,78
223.78,11407,-52.65,-58.86,278,93.32,77
214.04,11694,-53.17,-58.95,279,96.59,76
204.64,11983,-53.7,-58.73,280,91.24,75
195.56,12273,-55.31,-60.79,280,77.47,74
186.79,12564,-57.03,-63.62,280,65.18,73
178.34,12858,-57,-67.41,280,51.67,72
170.18,13154,-56.07,-73.08,280,40.14,71
162.32,13455,-56.18,-76.53,286,34.22,70
154.74,13757,-57.81,-77.69,298,34.66,69
147.45,14060,-59.76,-78.57,305,38.46,68
140.42,14364,-61.83,-79.08,305,41.33,67
133.67,14668,-63.78,-79.58,301,41.64,66
127.17,14971,-65.64,-80.52,296,40.93,65
120.93,15276,-67.35,-81.02,291,41,64
114.94,15581,-68.71,-81.47,290,42.86,63
109.19,15888,-68.87,-82.19,290,45.27,62
103.68,16199,-67.48,-82.69,285,44.48,61
98.4,16514,-66.33,-82.75,286,38.22,60
93.34,16833,-66.62,-83.03,296,34.78,59
88.5,17155,-67.45,-83.93,299,37.55,58
83.88,17478,-66.67,-84.04,297,40.52,57
79.45,17808,-65.09,-84.05,299,37.97,56
75.2,18143,-64.38,-84.18,307,30.86,55
71.12,18484,-64,-84.95,325,28.9,54
67.19,18833,-62.76,-85.02,331,28.01,53
63.42,19191,-60.81,-85.02,329,18.3,52
59.77,19560,-59.46,-85.1,337,10.77,51
56.26,19940,-58.76,-85.26,5,5.32,50
52.86,20330,-59.44,-85.6,29,4.56,49
49.6,20729,-59.35,-85.84,27,5.14,48
46.45,21140,-58.37,-85.99,42,7.4,47
43.43,21564,-57.33,-86.14,57,10.46,46
40.53,22001,-56.6,-86.33,68,13.67,45
