- Norte: CAPPI Bel&eacute;m - PA | Lat: -1.406710, Lon: -48.461800 | Raio: 250km | Variáveis: Cappi do radar de Bel&eacute;m/PA - 3km
- Norte: CAPPI Boa Vista - RR | Lat: 2.844210, Lon: -60.700200 | Raio: 250km | Variáveis: Cappi do radar de Boa Vista/RR - 3km
- Norte: VENTO Boa Vista - RR | Lat: 2.844210, Lon: -60.700200 | Raio: 250km | Variáveis: Vento do radar de Boa Vista/RR - 3km
- Norte: CAPPI Cruzeiro do Sul - AC | Lat: -7.595530, Lon: -72.769700 | Raio: 250km | Variáveis: Cappi do radar de Cruzeiro do Sul/AC - 3km
- Norte: CAPPI Macap&atilde; - AP | Lat: 0.045597, Lon: -51.096900 | Raio: 250km | Variáveis: Cappi do radar Macap&aacute;/AP - 3km
- Norte: VENTO Macap&atilde; - AP | Lat: 0.045597, Lon: -51.096900 | Raio: 250km | Variáveis: Vento do radar de Macap&aacute;/AP - 3km
- Norte: CAPPI Manaus - AM | Lat: -3.148890, Lon: -59.991400 | Raio: 250km | Variáveis: Cappi do radar de Manaus/AM - 3km
- Norte: VENTO Manaus - AM | Lat: -3.148890, Lon: -59.991400 | Raio: 250km | Variáveis: Vento do radar de Manaus/AM - 3km
- Norte: CAPPI Porto Velho - RO | Lat: -8.715140, Lon: -63.893800 | Raio: 250km | Variáveis: Cappi do radar de Porto Velho/RO - 3km
- Norte: VENTO Porto Velho - RO | Lat: -8.715140, Lon: -63.893800 | Raio: 250km | Variáveis: Vento do radar de Porto Velho/RO - 3km
- Norte: CAPPI Santarem - PA | Lat: -2.429640, Lon: -54.799000 | Raio: 250km | Variáveis: Cappi do radar de Santar&eacute;m/PA - 3km
- Norte: VENTO Santarem - PA | Lat: -2.429640, Lon: -54.799000 | Raio: 250km | Variáveis: Vento do radar de Santar&eacute;m/PA - 3km
- Norte: CAPPI Tabatinga - AM | Lat: -4.248390, Lon: -69.935000 | Raio: 250km | Variáveis: Cappi do radar de Tabatinga/AM - 3km
